Meter S/N:," ""0479F14R""",,,,,,,
Sensor, THERMO,,,,,,,
Date, 7/1/2014 4:01:24 PM,,,,,,,
Units, W,,,,,,,
Timestamp, Measurement, Flags (interpreted),,,,,,
0.0007632,0.155917674,0,,,,,,
0.0007648,0.162055671,0,,,,,,
0.0007664,0.162763909,0,,,,,,
0.000768,0.148363218,0,,,,,,
0.0007696,0.155445531,0,,,,,,
0.0007712,0.155681595,0,,,,,,
0.0007728,0.159930989,0,,,,,,
0.0007744,0.14789106,0,,,,,,
0.000776,0.137503684,0,,,,,,
0.0007776,0.160875291,0,,,,,,
0.0007792,0.150251836,0,,,,,,
0.0007808,0.153320834,0,,,,,,
0.0007824,0.154737294,0,,,,,,
0.000784,0.150251836,0,,,,,,
0.0007856,0.155445531,0,,,,,,
0.0007872,0.151668295,0,,,,,,
0.0007888,0.145766377,0,,,,,,
0.0007904,0.168429747,0,,,,,,
0.000792,0.142933458,0,,,,,,
0.0007936,0.14789106,0,,,,,,
0.0007952,0.152140453,0,,,,,,
0.0007968,0.154737294,0,,,,,,
0.0007984,0.152376533,0,,,,,,
0.0008,0.136323303,0,,,,,,
0.0008016,0.152612597,0,,,,,,
0.0008032,0.148363218,0,,,,,,
0.0008048,0.14505814,0,,,,,,
0.0008064,0.154973373,0,,,,,,
0.000808,0.144585997,0,,,,,,
0.0008096,0.150960058,0,,,,,,
0.0008112,0.143405601,0,,,,,,
0.0008128,0.154737294,0,,,,,,
0.0008144,0.148127139,0,,,,,,
0.000816,0.14364168,0,,,,,,
0.0008176,0.157570213,0,,,,,,
0.0008192,0.148599297,0,,,,,,
0.0008208,0.1464746,0,,,,,,
0.0008224,0.147418916,0,,,,,,
0.000824,0.153320834,0,,,,,,
0.0008256,0.1464746,0,,,,,,
0.0008272,0.14364168,0,,,,,,
0.0008288,0.149543598,0,,,,,,
0.0008304,0.13986446,0,,,,,,
0.000832,0.153084755,0,,,,,,
0.0008336,0.163236067,0,,,,,,
0.0008352,0.144349918,0,,,,,,
0.0008368,0.151432216,0,,,,,,
0.0008384,0.139628381,0,,,,,,
0.00084,0.144822061,0,,,,,,
0.0008416,0.155445531,0,,,,,,
0.0008432,0.148127139,0,,,,,,
0.0008448,0.155209452,0,,,,,,
0.0008464,0.150251836,0,,,,,,
0.000848,0.144113839,0,,,,,,
0.0008496,0.140100524,0,,,,,,
0.0008512,0.152848676,0,,,,,,
0.0008528,0.14364168,0,,,,,,
0.0008544,0.145530298,0,,,,,,
0.000856,0.135378987,0,,,,,,
0.0008576,0.1464746,0,,,,,,
0.0008592,0.139392301,0,,,,,,
0.0008608,0.1424613,0,,,,,,
0.0008624,0.153084755,0,,,,,,
0.000864,0.140100524,0,,,,,,
0.0008656,0.147418916,0,,,,,,
0.0008672,0.133018225,0,,,,,,
0.0008688,0.147654995,0,,,,,,
0.0008704,0.137739763,0,,,,,,
0.000872,0.142933458,0,,,,,,
0.0008736,0.141989142,0,,,,,,
0.0008752,0.132546067,0,,,,,,
0.0008768,0.118381463,0,,,,,,
0.0008784,0.118145384,0,,,,,,
0.00088,0.131129608,0,,,,,,
0.0008816,0.128532767,0,,,,,,
0.0008832,0.136559382,0,,,,,,
0.0008848,0.120978311,0,,,,,,
0.0008864,0.131365687,0,,,,,,
0.000888,0.137031525,0,,,,,,
0.0008896,0.123103,0,,,,,,
0.0008912,0.136559382,0,,,,,,
0.0008928,0.131601766,0,,,,,,
0.0008944,0.131365687,0,,,,,,
0.000896,0.14104484,0,,,,,,
0.0008976,0.129004925,0,,,,,,
0.0008992,0.114368156,0,,,,,,
0.0009008,0.117673233,0,,,,,,
0.0009024,0.122866921,0,,,,,,
0.000904,0.131837845,0,,,,,,
0.0009056,0.125699848,0,,,,,,
0.0009072,0.131837845,0,,,,,,
0.0009088,0.130185306,0,,,,,,
0.0009104,0.130657464,0,,,,,,
0.000912,0.112243466,0,,,,,,
0.0009136,0.120034002,0,,,,,,
0.0009152,0.136559382,0,,,,,,
0.0009168,0.122630842,0,,,,,,
0.0009184,0.117201075,0,,,,,,
0.00092,0.118617542,0,,,,,,
0.0009216,0.118381463,0,,,,,,
0.0009232,0.106105469,0,,,,,,
0.0009248,0.121214382,0,,,,,,
0.0009264,0.130893528,0,,,,,,
0.000928,0.120506153,0,,,,,,
0.0009296,0.127588466,0,,,,,,
0.0009312,0.133962527,0,,,,,,
0.0009328,0.127588466,0,,,,,,
0.0009344,0.12522769,0,,,,,,
0.000936,0.120506153,0,,,,,,
0.0009376,0.129713148,0,,,,,,
0.0009392,0.118617542,0,,,,,,
0.0009408,0.132309988,0,,,,,,
0.0009424,0.12381123,0,,,,,,
0.000944,0.127588466,0,,,,,,
0.0009456,0.128768846,0,,,,,,
0.0009472,0.126171991,0,,,,,,
0.0009488,0.139628381,0,,,,,,
0.0009504,0.137975842,0,,,,,,
0.000952,0.112715617,0,,,,,,
0.0009536,0.126644149,0,,,,,,
0.0009552,0.141516998,0,,,,,,
0.0009568,0.121214382,0,,,,,,
0.0009584,0.118145384,0,,,,,,
0.00096,0.107049778,0,,,,,,
0.0009616,0.108466238,0,,,,,,
0.0009632,0.110827006,0,,,,,,
0.0009648,0.114604235,0,,,,,,
0.0009664,0.120034002,0,,,,,,
0.000968,0.114368156,0,,,,,,
0.0009696,0.116965003,0,,,,,,
0.0009712,0.114132077,0,,,,,,
0.0009728,0.116492845,0,,,,,,
0.0009744,0.121686541,0,,,,,,
0.000976,0.116728924,0,,,,,,
0.0009776,0.113659926,0,,,,,,
0.0009792,0.122866921,0,,,,,,
0.0009808,0.114132077,0,,,,,,
0.0009824,0.128296688,0,,,,,,
0.000984,0.123339079,0,,,,,,
0.0009856,0.134198606,0,,,,,,
0.0009872,0.121922612,0,,,,,,
0.0009888,0.129713148,0,,,,,,
0.0009904,0.130421385,0,,,,,,
0.000992,0.108702309,0,,,,,,
0.0009936,0.112951696,0,,,,,,
0.0009952,0.124283381,0,,,,,,
0.0009968,0.12522769,0,,,,,,
0.0009984,0.119325772,0,,,,,,
