Meter S/N:, "REV_DA_16"
Sensor, Thermo, Quad, 1A365, LM-3 QHTD HD
Date, 11/20/2014 1:59:51 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
12.6, 0.315011918544769, 4.69461727142334, -0.564356505870819, 12600010, 0, 0, 0
12.7, 0.31397670507431, 4.69839811325073, -0.574745833873749, 12700010, 0, 0, 0
12.8, 0.312026530504227, 4.71897077560425, -0.579976618289948, 12800010, 0, 0, 0
12.9, 0.31086465716362, 4.70637607574463, -0.584455013275146, 12900010, 0, 0, 0
13, 0.309067726135254, 4.70643281936646, -0.567393481731415, 13000010, 0, 0, 0
13.1, 0.30742734670639, 4.69134569168091, -0.531776607036591, 13100010, 0, 0, 0
13.2, 0.306344389915466, 4.66918611526489, -0.559713363647461, 13200010, 0, 0, 0
13.3, 0.304714322090149, 4.68704080581665, -0.561418175697327, 13300010, 0, 0, 0
13.4, 0.302888244390488, 4.66286516189575, -0.532144486904144, 13400010, 0, 0, 0
13.5, 0.301466435194016, 4.67912530899048, -0.5445916056633, 13500010, 0, 0, 0
13.6, 0.300001919269562, 4.68389749526978, -0.549109280109406, 13600010, 0, 0, 0
13.7, 0.298842668533325, 4.68283176422119, -0.573879957199097, 13700010, 0, 0, 0
13.8, 0.297436445951462, 4.65035247802734, -0.539695739746094, 13800010, 0, 0, 0
13.9, 0.296494394540787, 4.61949300765991, -0.56163090467453, 13900010, 0, 0, 0
14, 0.28934171795845, 4.30455827713013, -0.503779351711273, 14000010, 0, 0, 0
14.1, 0.273764967918396, 3.62354898452759, -0.369615793228149, 14100010, 0, 0, 0
14.2, 0.258203506469727, 2.71116662025452, -0.295908957719803, 14200010, 0, 0, 0
14.3, 0.245299860835075, 1.62315857410431, -0.290179014205933, 14300010, 0, 0, 0
14.4, 0.234896376729012, 0.574369251728058, -0.208784118294716, 14400010, 0, 0, 0
14.5, 0.225552260875702, -0.281695127487183, -0.104359231889248, 14500010, 0, 0, 0
14.6, 0.21754452586174, -0.997200727462769, -0.0111023057252169, 14600020, 0, 0, 0
14.7, 0.20987357199192, -1.53854084014893, 0.0928486660122871, 14700010, 0, 0, 0
14.8, 0.203294694423676, -2.00828218460083, 0.144718483090401, 14800010, 0, 0, 0
14.9, 0.197185650467873, -2.38731479644775, 0.210710346698761, 14900010, 0, 0, 0
15, 0.190984636545181, -2.72510814666748, 0.359978020191193, 15000010, 0, 0, 0
15.1, 0.186298683285713, -2.93346810340881, 0.314627468585968, 15100010, 0, 0, 0
15.2, 0.181743949651718, -3.17934465408325, 0.406320482492447, 15200010, 0, 0, 0
15.3, 0.177091628313065, -3.3863673210144, 0.489865094423294, 15300010, 0, 0, 0
15.4, 0.173406913876534, -3.58836269378662, 0.563589155673981, 15400010, 0, 0, 0
15.5, 0.169573247432709, -3.7344708442688, 0.602047204971313, 15500010, 0, 0, 0
15.6, 0.167043969035149, -3.87368011474609, 0.636804342269897, 15600010, 0, 0, 0
15.7, 0.163760736584663, -3.95590257644653, 0.651922583580017, 15700010, 0, 0, 0
15.8, 0.16103284060955, -4.1075963973999, 0.725772082805634, 15800010, 0, 0, 0
15.9, 0.159496113657951, -4.12510919570923, 0.782722592353821, 15900010, 0, 0, 0
16, 0.156936675310135, -4.19416475296021, 0.794810175895691, 16000010, 0, 0, 0
16.1, 0.154896184802055, -4.34934949874878, 0.832455813884735, 16100010, 0, 0, 0
16.2, 0.153020516037941, -4.34045600891113, 0.883581638336182, 16200010, 0, 0, 0
16.3, 0.151667207479477, -4.34253406524658, 0.901167750358582, 16300010, 0, 0, 0
16.4, 0.149821057915688, -4.41969299316406, 1.00477135181427, 16400010, 0, 0, 0
16.5, 0.14850527048111, -4.46006298065186, 1.02349162101746, 16500010, 0, 0, 0
16.6, 0.147204697132111, -4.46528720855713, 1.077472448349, 16600010, 0, 0, 0
16.7, 0.145751729607582, -4.44561004638672, 1.19350504875183, 16700010, 0, 0, 0
16.8, 0.143837735056877, -4.31321382522583, 1.12374567985535, 16800010, 0, 0, 0
16.9, 0.138824790716171, -3.85876226425171, 1.0931271314621, 16900010, 0, 0, 0
17, 0.133153006434441, -3.33548474311829, 1.04152178764343, 17000010, 0, 0, 0
17.1, 0.129097282886505, -2.91978001594543, 0.943207144737244, 17100010, 0, 0, 0
17.2, 0.127706155180931, -2.59003520011902, 1.08924841880798, 17200010, 0, 0, 0
17.3, 0.127086296677589, -2.1908061504364, 1.18881452083588, 17300010, 0, 0, 0
17.4, 0.127439185976982, -2.08855581283569, 1.32532477378845, 17400010, 0, 0, 0
17.5, 0.127902701497078, -1.95454967021942, 1.34588670730591, 17500010, 0, 0, 0
17.6, 0.128957360982895, -1.8291882276535, 1.39544796943665, 17600010, 0, 0, 0
17.7, 0.130251005291939, -1.7146874666214, 1.4631552696228, 17700010, 0, 0, 0
17.8, 0.130392238497734, -1.61827564239502, 1.58649682998657, 17800010, 0, 0, 0
17.9, 0.130486667156219, -1.58137917518616, 1.55556571483612, 17900010, 0, 0, 0
18, 0.130664512515068, -1.57494306564331, 1.65459549427032, 18000010, 0, 0, 0
18.1, 0.130493745207787, -1.54788339138031, 1.70699644088745, 18100010, 0, 0, 0
