
0	Header	[1]	00  .
7189	Data	[38]	36 2e 31 35 35 31 36 65 2d 30 32 2c 2d 32 2e 30 39 65 2b 30 30 2c 2d 37 2e 30 33 65 2b 30 30 2c 30 2c 37 31 30 30  6.15516e-02,-2.09e+00,-7.03e+00,0,7100
7289	Data	[38]	36 2e 32 33 30 31 33 65 2d 30 32 2c 2d 31 2e 39 32 65 2b 30 30 2c 2d 37 2e 34 33 65 2b 30 30 2c 30 2c 37 32 30 30  6.23013e-02,-1.92e+00,-7.43e+00,0,7200
7389	Data	[38]	36 2e 33 35 35 30 31 65 2d 30 32 2c 2d 32 2e 30 31 65 2b 30 30 2c 2d 37 2e 33 36 65 2b 30 30 2c 30 2c 37 33 30 30  6.35501e-02,-2.01e+00,-7.36e+00,0,7300
7489	Data	[38]	36 2e 36 31 31 33 32 65 2d 30 32 2c 2d 32 2e 31 38 65 2b 30 30 2c 2d 37 2e 32 38 65 2b 30 30 2c 30 2c 37 34 30 30  6.61132e-02,-2.18e+00,-7.28e+00,0,7400
7589	Data	[38]	36 2e 37 37 38 30 31 65 2d 30 32 2c 2d 32 2e 36 35 65 2b 30 30 2c 2d 36 2e 39 39 65 2b 30 30 2c 30 2c 37 35 30 30  6.77801e-02,-2.65e+00,-6.99e+00,0,7500
7689	Data	[38]	36 2e 37 38 36 32 34 65 2d 30 32 2c 2d 33 2e 33 32 65 2b 30 30 2c 2d 36 2e 38 30 65 2b 30 30 2c 30 2c 37 36 30 30  6.78624e-02,-3.32e+00,-6.80e+00,0,7600
7788	Data	[38]	36 2e 39 30 32 33 32 65 2d 30 32 2c 2d 33 2e 38 31 65 2b 30 30 2c 2d 36 2e 34 37 65 2b 30 30 2c 30 2c 37 37 30 30  6.90232e-02,-3.81e+00,-6.47e+00,0,7700
7889	Data	[38]	36 2e 39 39 32 39 34 65 2d 30 32 2c 2d 34 2e 31 36 65 2b 30 30 2c 2d 36 2e 30 39 65 2b 30 30 2c 30 2c 37 38 30 30  6.99294e-02,-4.16e+00,-6.09e+00,0,7800
7989	Data	[38]	37 2e 30 31 37 33 39 65 2d 30 32 2c 2d 34 2e 35 30 65 2b 30 30 2c 2d 36 2e 31 35 65 2b 30 30 2c 30 2c 37 39 30 30  7.01739e-02,-4.50e+00,-6.15e+00,0,7900
8089	Data	[38]	37 2e 32 37 31 34 34 65 2d 30 32 2c 2d 35 2e 33 31 65 2b 30 30 2c 2d 35 2e 37 32 65 2b 30 30 2c 30 2c 38 30 30 30  7.27144e-02,-5.31e+00,-5.72e+00,0,8000
8188	Data	[38]	36 2e 36 37 33 36 34 65 2d 30 32 2c 2d 35 2e 33 32 65 2b 30 30 2c 2d 35 2e 37 31 65 2b 30 30 2c 30 2c 38 31 30 30  6.67364e-02,-5.32e+00,-5.71e+00,0,8100
8289	Data	[38]	35 2e 39 38 39 39 32 65 2d 30 32 2c 2d 34 2e 35 38 65 2b 30 30 2c 2d 35 2e 35 31 65 2b 30 30 2c 30 2c 38 32 30 30  5.98992e-02,-4.58e+00,-5.51e+00,0,8200
8389	Data	[38]	35 2e 34 35 36 35 32 65 2d 30 32 2c 2d 34 2e 36 37 65 2b 30 30 2c 2d 35 2e 33 39 65 2b 30 30 2c 30 2c 38 33 30 30  5.45652e-02,-4.67e+00,-5.39e+00,0,8300
8489	Data	[38]	35 2e 30 33 38 35 33 65 2d 30 32 2c 2d 34 2e 35 30 65 2b 30 30 2c 2d 35 2e 33 32 65 2b 30 30 2c 30 2c 38 34 30 30  5.03853e-02,-4.50e+00,-5.32e+00,0,8400
8589	Data	[38]	34 2e 33 36 35 30 36 65 2d 30 32 2c 2d 33 2e 36 33 65 2b 30 30 2c 2d 35 2e 33 34 65 2b 30 30 2c 30 2c 38 35 30 30  4.36506e-02,-3.63e+00,-5.34e+00,0,8500
8689	Data	[38]	33 2e 36 38 38 37 36 65 2d 30 32 2c 2d 32 2e 38 30 65 2b 30 30 2c 2d 35 2e 34 33 65 2b 30 30 2c 30 2c 38 36 30 30  3.68876e-02,-2.80e+00,-5.43e+00,0,8600
8790	Data	[38]	33 2e 33 30 31 38 30 65 2d 30 32 2c 2d 32 2e 33 34 65 2b 30 30 2c 2d 35 2e 36 35 65 2b 30 30 2c 30 2c 38 37 30 30  3.30180e-02,-2.34e+00,-5.65e+00,0,8700
8888	Data	[38]	32 2e 38 35 31 33 38 65 2d 30 32 2c 2d 31 2e 37 38 65 2b 30 30 2c 2d 36 2e 31 31 65 2b 30 30 2c 30 2c 38 38 30 30  2.85138e-02,-1.78e+00,-6.11e+00,0,8800
8988	Data	[38]	32 2e 36 31 36 39 37 65 2d 30 32 2c 2d 31 2e 37 39 65 2b 30 30 2c 2d 35 2e 37 35 65 2b 30 30 2c 30 2c 38 39 30 30  2.61697e-02,-1.79e+00,-5.75e+00,0,8900
9089	Data	[38]	32 2e 33 38 31 39 36 65 2d 30 32 2c 2d 31 2e 37 35 65 2b 30 30 2c 2d 35 2e 39 33 65 2b 30 30 2c 30 2c 39 30 30 30  2.38196e-02,-1.75e+00,-5.93e+00,0,9000
9189	Data	[38]	32 2e 38 33 32 39 34 65 2d 30 32 2c 2d 35 2e 37 33 65 2b 30 30 2c 2d 34 2e 34 38 65 2b 30 30 2c 30 2c 39 31 30 30  2.83294e-02,-5.73e+00,-4.48e+00,0,9100
9289	Data	[38]	33 2e 34 34 34 33 30 65 2d 30 32 2c 2d 38 2e 34 37 65 2b 30 30 2c 2d 33 2e 36 36 65 2b 30 30 2c 30 2c 39 32 30 30  3.44430e-02,-8.47e+00,-3.66e+00,0,9200
9388	Data	[38]	33 2e 34 34 32 31 31 65 2d 30 32 2c 2d 39 2e 30 35 65 2b 30 30 2c 2d 33 2e 31 36 65 2b 30 30 2c 30 2c 39 33 30 30  3.44211e-02,-9.05e+00,-3.16e+00,0,9300
9489	Data	[38]	33 2e 35 32 38 33 30 65 2d 30 32 2c 2d 38 2e 36 32 65 2b 30 30 2c 2d 32 2e 35 30 65 2b 30 30 2c 30 2c 39 34 30 30  3.52830e-02,-8.62e+00,-2.50e+00,0,9400
